"post_id","post_owner_id","effective_country","lang"
"18","100000337699","IN","en"
"19","100000337699","IN","en"
"22","10000014174","CA","en"
"37","100000337699","IN","en"
"38","100000337699","IN","en"
"39","100000337699","IN","en"
"51","100000337715","CA","en"
"56","10000000942","CA","en"
"67","100000337699","IN","en"
"68","100000337715","CA","en"
"76","100000337749","IN","en"
"92","10000000942","CA","en"
"133","10000000942","CA","en"
"192","10000000942","CA","en"
"196","10000000942","CA","en"
"216","10000000686","IN","en"
"250","10000000942","CA","en"
"254","10000007905","US","en"
"268","10000000942","CA","en"
"272","10000000942","CA","en"
"283","10000007905","US","en"
"331","10000000942","CA","en"
"335","10000007905","US","en"
"372","10000000942","CA","en"
"548","100000338143","IN","en"
"549","100000338143","IN","en"
"552","100000338143","IN","en"
"556","100000338317","IN","en"
"557","100000338317","IN","en"
"564","100000338143","IN","en"
"565","100000338143","IN","en"
"566","100000338143","IN","en"
"567","100000338143","IN","en"
"577","100000338143","IN","en"
"579","100000339042","IN","en"
"580","100000338143","IN","en"
"584","100000338382","IN","en"
"585","100000338382","IN","en"
"587","100000338382","IN","en"
"589","100000338382","IN","en"
"591","100000338382","IN","en"
"592","100000338382","IN","en"
"593","100000338143","IN","en"
"594","100000338382","IN","en"
"596","100000338143","IN","en"
"597","100000338382","IN","en"
"598","100000338382","IN","en"
"599","100000338382","IN","en"
"600","100000338382","CA","en"
"601","100000338382","CA","en"
"604","100000339083","IN","en"
"613","100000338382","CA","en"
"614","100000338382","CA","en"
"615","100000339109","CA","en"
"616","100000339083","IN","en"
"618","100000339083","IN","en"
"625","100000339109","CA","en"
"626","100000339109","CA","en"
"627","100000339109","CA","en"
"628","100000339109","CA","en"
"629","100000339109","CA","en"
"630","100000339109","CA","en"
"632","100000339109","CA","en"
"636","100000339299","CA","en"
"638","100000339281","IN","en"
"639","100000339109","CA","en"
"640","100000339299","CA","en"
"644","100000339109","CA","en"
"645","100000338382","IN","en"
"646","100000338382","IN","en"
"665","100000339059","IN","en"
"667","100000339109","CA","ar"
"676","100000339059","IN","en"
"678","100000339059","IN","en"
"680","100000339281","IN","en"
"705","100000339281","IN","en"
"707","100000339299","CA","en"
"708","100000339109","CA","en"
"709","100000339109","CA","en"
"710","100000338382","IN","en"
"712","100000339083","IN","en"
"713","100000339331","IN","en"
