"user_id","country","supported_languages"
"10114","US","[""en"", ""es"", ""haw"", ""fr""]"
"10000000686","CA","[""en"", ""fr"", ""iu""]"
"10000000942","CA","[""en"", ""fr"", ""iu""]"
"10000001007","MV","[""dv"", ""en""]"
"10000001189","CA","[""en"", ""fr"", ""iu""]"
"10000001551","CA","[""en"", ""fr"", ""iu""]"
"10000007905","US","[""en"", ""es"", ""haw"", ""fr""]"
"10000009679","CA","[""en"", ""fr"", ""iu""]"
"10000009919","CA","[""en"", ""fr"", ""iu""]"
"10000010321","CA","[""en"", ""fr"", ""iu""]"
"10000014174","CA","[""en"", ""fr"", ""iu""]"
"10000014265","CA","[""en"", ""fr"", ""iu""]"
"10000033459","CA","[""en"", ""fr"", ""iu""]"
"100000337582","CN","[""zh"", ""yue"", ""wuu"", ""dta"", ""ug"", ""za""]"
"100000337699","BM","[""en"", ""pt""]"
"100000337707","CA","[""en"", ""fr"", ""iu""]"
"100000337715","CA","[""en"", ""fr"", ""iu""]"
"100000337756","CA","[""en"", ""fr"", ""iu""]"
"100000337764","CA","[""en"", ""fr"", ""iu""]"
"100000337780","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000337798","CN","[""zh"", ""yue"", ""wuu"", ""dta"", ""ug"", ""za""]"
"100000338069","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000338143","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000338226","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000338242","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000338267","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000338317","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000338382","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000338606","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000338630","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000338945","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000339034","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000339042","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000339059","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000339083","CA","[""en"", ""fr"", ""iu""]"
"100000339109","CA","[""en"", ""fr"", ""iu""]"
"100000339141","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000339158","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
"100000339281","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000339299","ES","[""es"", ""ca"", ""gl"", ""eu"", ""oc""]"
"100000339323","US","[""en"", ""es"", ""haw"", ""fr""]"
"100000339331","IN","[""en"", ""hi"", ""bn"", ""te"", ""mr"", ""ta"", ""ur"", ""gu"", ""kn"", ""ml"", ""or"", ""pa"", ""as"", ""bh"", ""sat"", ""ks"", ""ne"", ""sd"", ""kok"", ""doi"", ""mni"", ""sit"", ""sa"", ""lus"", ""inc""]"
